Designator,Mid X,Mid Y,Layer,Rotation
C1,133.205000mm,-65.250000mm,Top,90
C2,145.910000mm,-69.655000mm,Top,0
C3,145.897500mm,-68.105000mm,Top,0
C4,127.425000mm,-69.480000mm,Top,90
C5,127.425000mm,-72.567500mm,Top,90
C6,128.806000mm,-56.129500mm,Top,270
C7,127.226000mm,-56.122000mm,Top,270
C8,100.940000mm,-78.700000mm,Top,0
C9,104.726700mm,-84.988800mm,Top,0
C10,96.240000mm,-82.587500mm,Top,270
C11,105.740000mm,-77.500000mm,Top,180
C12,105.740000mm,-80.800000mm,Top,180
C13,102.329600mm,-62.074800mm,Top,180
C14,102.329600mm,-69.796400mm,Top,180
D1,140.835000mm,-53.680000mm,Top,90
D2,144.527500mm,-57.040000mm,Top,0
D3,144.507500mm,-60.300000mm,Top,0
D4,144.522500mm,-58.650000mm,Top,0
IC1,135.180400mm,-57.942980mm,Top,270
IC2,164.900000mm,-62.790000mm,Top,90
IC3,113.135000mm,-57.105000mm,Top,0
IC4,101.030000mm,-83.170000mm,Top,0
IC5,102.373600mm,-65.921200mm,Top,270
K1,116.340000mm,-76.500000mm,Top,90
L1,104.952500mm,-83.400000mm,Top,0
R1,121.280000mm,-75.440000mm,Top,90
R2,133.202500mm,-53.660000mm,Top,180
R3,141.410000mm,-57.040000mm,Top,180
R4,131.705000mm,-55.900000mm,Top,90
R5,132.482500mm,-52.110000mm,Top,0
R6,141.382500mm,-60.300000mm,Top,0
R7,141.397500mm,-58.650000mm,Top,0
R8,103.857000mm,-53.127100mm,Top,90
R9,102.282200mm,-53.127300mm,Top,270
R10,128.806000mm,-52.989500mm,Top,270
R11,97.840000mm,-82.600000mm,Top,270
R12,97.052500mm,-84.900000mm,Top,0
U1,139.427220mm,-68.368480mm,Top,0
Y1,132.805000mm,-70.920000mm,Top,270
